Year,FIPS,AgeGroup,MonthlyIncome,AverageRate,AveragePoints,County,MedianHousePrice,MonthlyMortgage,mortgage_income_ratio,affordable
2021,34011,overall,4785.282113026621,2.84,0.7,Cumberland County,191094.0,995.525481452624,0.20803903676704416,Yes
2021,34011,overall,4785.282113026621,2.9,0.7,Cumberland County,195156.0,1022.1927464358355,0.21361180433922494,Yes
2021,34011,overall,4785.282113026621,3.07,0.7,Cumberland County,198099.0,1053.5737580014415,0.22016962283861494,Yes
2021,34011,overall,4785.282113026621,3.07,0.7,Cumberland County,201140.0,1069.7470743638785,0.22354942699235741,Yes
2021,34011,overall,4785.282113026621,3.1,0.6,Cumberland County,203412.0,1084.74418565921,0.22668343475639413,Yes
2021,34011,under-25,2559.629311585215,2.74,0.7,Cumberland County,162910.0,841.0819936492696,0.32859523441242966,No
2021,34011,under-25,2559.629311585215,2.81,0.7,Cumberland County,166016.0,862.5446063507022,0.3369802816551261,No
2021,34011,under-25,2559.629311585215,3.08,0.7,Cumberland County,169059.0,899.9334596113664,0.35158741757572104,No
2021,34011,under-25,2559.629311585215,3.06,0.7,Cumberland County,172955.0,919.0227586914007,0.35904525492491596,No
2021,34011,under-25,2559.629311585215,2.96,0.7,Cumberland County,176295.0,928.3973720377304,0.3627077435922785,No
2021,34011,under-25,2559.629311585215,2.98,0.7,Cumberland County,180773.0,953.6914859807487,0.37258968775838636,No
2021,34011,under-25,2559.629311585215,2.87,0.7,Cumberland County,185766.0,970.3862884182432,0.3791120393981069,No
2021,34011,under-25,2559.629311585215,2.84,0.7,Cumberland County,191094.0,995.525481452624,0.3889334588202855,No
2021,34011,under-25,2559.629311585215,2.9,0.7,Cumberland County,195156.0,1022.1927464358355,0.3993518677916596,No
2021,34011,under-25,2559.629311585215,3.07,0.7,Cumberland County,198099.0,1053.5737580014415,0.4116118506819834,No
2021,34011,under-25,2559.629311585215,3.07,0.7,Cumberland County,201140.0,1069.7470743638785,0.4179304673227737,No
2021,34011,under-25,2559.629311585215,3.1,0.6,Cumberland County,203412.0,1084.74418565921,0.4237895623204176,No
2022,34011,25-44,4371.254258878682,3.45,0.7,Cumberland County,204896.0,1127.3527484881301,0.25790143554296924,No
2022,34011,25-44,4371.254258878682,3.76,0.8,Cumberland County,205283.0,1160.9599965371644,0.2655896746749696,No
2022,34011,25-44,4371.254258878682,4.17,0.8,Cumberland County,206484.0,1210.6067335471396,0.27694722426365687,No
2022,34011,65-plus,4824.366368036324,3.45,0.7,Cumberland County,204896.0,1127.3527484881301,0.23367892537295,Yes
2022,34011,65-plus,4824.366368036324,3.76,0.8,Cumberland County,205283.0,1160.9599965371644,0.24064507294244183,Yes
2022,34011,65-plus,4824.366368036324,4.17,0.8,Cumberland County,206484.0,1210.6067335471396,0.2509359035350162,No
2022,34011,overall,4957.502003741199,3.45,0.7,Cumberland County,204896.0,1127.3527484881301,0.2274033873586675,Yes
2022,34011,overall,4957.502003741199,3.76,0.8,Cumberland County,205283.0,1160.9599965371644,0.2341824563380996,Yes
2022,34011,overall,4957.502003741199,4.17,0.8,Cumberland County,206484.0,1210.6067335471396,0.24419692269081292,Yes
2022,34011,under-25,2833.4127119244476,3.45,0.7,Cumberland County,204896.0,1127.3527484881301,0.3978780584076771,No
2022,34011,under-25,2833.4127119244476,3.76,0.8,Cumberland County,205283.0,1160.9599965371644,0.4097391077731994,No
2022,34011,under-25,2833.4127119244476,4.17,0.8,Cumberland County,206484.0,1210.6067335471396,0.4272609946487104,No
2020,34013,25-44,5538.3801138587005,3.62,0.7,Essex County,441799.0,2467.789967131735,0.44557973927368744,No
2020,34013,25-44,5538.3801138587005,3.47,0.7,Essex County,441001.0,2430.740737128392,0.4388901966201172,No
2020,34013,25-44,5538.3801138587005,3.45,0.7,Essex County,441502.0,2429.1762316638997,0.43860771231381657,No
2020,34013,25-44,5538.3801138587005,3.31,0.7,Essex County,445356.0,2419.9994465493637,0.43695076841941455,No
